ssn4,ssn,zip,dob,r,g,ln,fn,ed,src,id
2948,008352948,02840,19160515,,,LOWE,LILY,20230414,D0,f2b6c5430db0390b9078b1ad6c795561
5450,009095450,03759,19810930,,,CLARKE,NATHAN,20230414,D0,e20e09ba16ee414b64e1a8cd90c9f75b
6914,006386914,02486,19921122,,,WHITE,LUCY,20230414,D0,c86365e883c17d12cde4c9635e750fd6
1312,002801312,04112,19630327,,,CARMODY,EMMA,20230414,D2,30eb04e0d8c8bad6f07a92cfe40f5863
9992,002769992,04560,19420804,,,ASTLEY,DARCIE,20230414,D2,597e10002b9c933897827cea2484f3a9
4045,002934045,03280,19130217,,,WEBB,ALEXANDRA,20230414,D0,776b5cfa7c03886cd26c10338810c739
5982,005825982,04226,19361118,,,HANNA,REBEKAH,20230414,D2,228330a6cae8ee42644415ab7dc619c0
6607,007266607,02125,19600515,,,GREEN,TAYLOR,20230414,D0,b4902028309d993dec8c0de3287acd53
8911,008328911,06168,19090729,,,MEANEY,CAITLIN,20230414,D1,307f5700e04598b1ba061984a8378b06
0978,009700978,07250,19940619,,,LEPPARD,ALISHA,20230414,D1,e670ba4db4f6e6b101485d8aafe329f3
3578,001963578,02350,19960311,,,SHEPHERD,APRIL,20230414,D2,8ee0ac066644d702e31636144599593a
8502,006238502,02031,19500331,,,ZILM,LUSHIA,20230414,D2,6edb86d302d9f8e3bd94ef0708ec77dd
2950,008112950,02830,19830304,,,WEVILL,CATHERI NE,20230414,D2,41059aa8438206676fb36b248ff771e3
7811,004877811,02156,19600409,,,MORRISON,LUCY,20230414,D0,7b534cd1cb9a20c7e2c117a4a5d0faff
6174,004866174,02486,19400923,,,CAMPBELL,HARRY,20230414,D0,d5b445bb3c2bf17470fcce1632820dc8
3037,005883037,02324,19180822,,,WIELOCH,STEPHANIE,20230414,D0,66140c9e5e2f1c826c6a0cff3260f562
5260,009475260,02800,19801010,,,BROWNE,JAKE,20230414,D2,df1c01af6210374856dcc33852857282
2396,006742396,03071,19480718,,,MUSCHAMP,LAYLA,20230414,D2,2d0bbf3a82ff5b75f5e008344d6af08e
4963,002104963,07006,19700711,,,NGUYEN,CAMERON,20230414,D0,40d135722b69466d39bcf46e66f03814
3639,002333639,02622,19880515,,,DEMETRIOU,RILEY,20230414,D0,1a0c8e2869a1122d8356cc414803f623
3533,009003533,03130,19300110,,,PINHEIRO,CALEB,20230414,D0,a088a663862316c7ad89cdedafe378e5
5234,003205234,06061,19480128,,,PLOUGHMAN,MITCHELL,20230414,D0,bbaf60a1f1042ac336f04aad75f99a78
0949,003890949,02170,19740801,,,WILLING,NICHOLAS,20230414,D1,7cc3a8d16d71f5b3935fe8577cf4d697
9245,003429245,02224,19010201,,,ROBSON,COOPER,20230414,D1,9f3e79608cb4184128746a31edaa468a
0085,009260085,03072,19271202,,,DOHSE,JAMES,20230414,D2,17db750d5102c03276ddd7e07d977a5b
0786,001350786,02034,19201221,,,WEAVER,THOMAS,20230414,D1,8cbd39eccfa57b93c2d26cc3a409e2ae
8082,006838082,02042,19241203,,,ALLIK,ELLA,20230414,D0,0356e04aab354d5959b632380bce98fb
7320,001157320,02482,19141225,,,HARSLETT,STEPHANIE,20230414,D1,2b191c9b025ed469774489a9ceaad452
4861,007674861,03171,19460203,,,FILANEDR,CHANNING,20230414,D1,fec6eb8708f57c53c3a733761dd68ed0
2852,003292852,03204,19800521,,,SINGLETON,ELOISE,20230414,D1,da616dff3f638588b97f26ea1bc9d34f
