ssn_org,ssn_org_cln
004982483,004982483
005-992262,005992262
002152.R885,INVALID
00822016-3,008220163
00389t4184.ol,INVALID
00.3333878,INVALID
007.811,INVALID
00.8481358,008481358
005758276,005758276
002753223,002753223
004477386,004477386
v0095Pr3395-9,INVALID
0020389-3,00203893
002.121314,INVALID
006-45-8332,006458332
00223050-7,002230507
001307757,001307757
0f0.1374722,INVALID
003-43-6286,003436286
005039.500,005039500
00.7182,INVALID
01159.8,INVALID
0071-9i0843,007190843
008589957,008589957
006095940,006095940
009-14-0394,009140394
008-97-7839,008977839
0m07760BQ7.76,INVALID
00702588.2,007025882
002-53-5325,002535325
0088966.8,00889668
04553.2,INVALID
00236375.4,INVALID
03788-82,INVALID
0044-49555,INVALID
005296567,005296567
005-65-9438,005659438
002-76-5575,002765575
005411723,005411723
0098.067,INVALID
0.01070412,INVALID
003760414,003760414
0068.30763,006830763
004.600379,004600379
005681.929,005681929
003862398,003862398
0.02641578,INVALID
0.055488,INVALID
005387439,005387439
00574.27,INVALID
006164507,006164507
002-47-2763,002472763
004398640,004398640
00518.8591,005188591
005721750,005721750
004845953,004845953
00528.4390,005284390
008-24-4083,008244083
009-17-4005,009174005
O00.44UG85116,INVALID
006-58-8164,006588164
006289128,006289128
00870788-3,008707883
0020749m1.P6,INVALID
0-07234535,007234535
003-37-8870,003378870
00069-447,00069447
z-006366k389,INVALID
008384529,008384529
008-26-5933,008265933
00996-194C1,INVALID
002709.445,002709445
004-69-5814,004695814
00778-4777,007784777
006-89-0560,006890560
004-4066j1S1F,00440669151
0.11973,INVALID
003563983,003563983
0-07073006QB,07073006Q
001796925,001796925
00254173-1,002541731
007-20-7048,007207048
002-79-8365,002798365
003842764,003842764
0043608.31,004360831
0037r.85W8H65,INVALID
003832097,003832097
04536-593,04536593
0145.58,INVALID
001.6842,INVALID
006-17-2588,006172588
005319582,005319582
00324893-3,003248933
00i119152-6p,INVALID
009437758,009437758
00.7189,INVALID
008941270,008941270
0-01994Z142K,INVALID
008658765,008658765
007328-951,007328951
0064534-00,006453400
00-2383107,002383107
001-811152,001811152
005218115,005218115
002-43-6644,002436644
07418-41,INVALID
008497.858,008497858
00757335-3,007573353
00-8770240,008770240
00263m478.M9,INVALID
006865413,006865413
0H.0508Hj4817,0805084817
009832560,009832560
005-54-6303,005546303
041526-94,04152694
002724807,002724807
008-51-1047,008511047
00-8314,INVALID
0-03330344,03330344
0031.63,INVALID
c004227.80vs1,INVALID
00750361-9,007503619
003-83-1644,003831644
0096733.8,00967330
002300555,002300555
009463229,009463229
0037464-15,003746415
00-1590195,001590195
0.018254tL15,INVALID
007-23-9177,007239177
0f036-jo76445,INVALID
kk00.33850I61,INVALID
00.1975Ga0d78,INVALID
003-92-1086,003921086
00378213.9,003782139
002.152933,002152933
001-13-5598,001135598
00510-2481,005102481
003396959,003396959
02795.90,INVALID
00.6826186,006826186
003-97-8981,003978981
008-42-1332,008421332
007166-564,007166564
005-15-0881,005150881
001-80-2172,001802172
0033.30,INVALID
0-04033633,04033633
005827826,005827826
007269-203,007269203
07.52636,INVALID
0.07324Ns375,INVALID
009-615838,009615838
0.640588,INVALID
001893606,001893606
0Q02219723.k,0Q02219723
005-66-1897,005661897
007034009,007034009
00409047-6,004090476
001-390230,001390230
0017266-76,001726676
002-083M513f,0020835131
007-68-4726,007684726
004506195,004506195
00980-63,0098063
005c3168.63,005316863
0d072867B9.J2,INVALID
00529-0790,005290790
0055-594,0055594
005563722,005563722
0052.32137,005232137
e0.0K4489087Z,INVALID
